word,frequency,rank
virtue,20,1015
hollow,20,1016
lies,20,1017
separate,20,1018
needs,20,1019
thinks,20,1020
swung,20,1021
inches,20,1022
dim,20,1023
england,20,1024
drive,20,1025
gigantic,20,1026
subject,20,1027
fain,20,1028
raised,20,1029
rise,20,1030
floor,20,1031
lying,20,1032
follow,20,1033
places,20,1034
outer,20,1035
past,20,1036
ways,20,1037
profound,20,1038
slightest,20,1039
died,20,1040
son,20,1041
cross,20,1042
fall,20,1043
billows,20,1044
hanging,20,1045
owners,20,1046
gentleman,20,1047
casks,20,1048
breeze,20,1049
grown,20,1050
moreover,20,1051
advancing,20,1052
officers,20,1053
squall,20,1054
grey,20,1055
dignity,20,1056
lowered,20,1057
dat,20,1058
spade,20,1059
doubloon,20,1060
pale,19,1061
stone,19,1062
foam,19,1063
forced,19,1064
bring,19,1065
important,19,1066
largest,19,1067
ordinary,19,1068
spermaceti,19,1069
atlantic,19,1070
pointing,19,1071
meet,19,1072
vicinity,19,1073
quietly,19,1074
leaves,19,1075
picture,19,1076
deeper,19,1077
merchant,19,1078
presented,19,1079
presently,19,1080
glass,19,1081
cannibal,19,1082
telling,19,1083
seat,19,1084
pitch,19,1085
dam,19,1086
sake,19,1087
met,19,1088
ones,19,1089
beginning,19,1090
fight,19,1091
concluded,19,1092
tomahawk,19,1093
ill,19,1094
smoking,19,1095
figure,19,1096
precise,19,1097
awful,19,1098
inch,19,1099
dog,19,1100
hunted,19,1101
stuff,19,1102
solitary,19,1103
silence,19,1104
eternal,19,1105
upwards,19,1106
swiftly,19,1107
reached,19,1108
chiefly,19,1109
merely,19,1110
whaler,19,1111
ends,19,1112
noon,19,1113
eh,19,1114
sorts,19,1115
rapidly,19,1116
elephant,19,1117
whalers,19,1118
porpoise,19,1119
roll,18,1120
whereas,18,1121
queen,18,1122
modern,18,1123
islands,18,1124
breath,18,1125
voyages,18,1126
hill,18,1127
observed,18,1128
children,18,1129
christian,18,1130
engaged,18,1131
lead,18,1132
interest,18,1133
hook,18,1134
content,18,1135
yonder,18,1136
beach,18,1137
glory,18,1138
jump,18,1139
instance,18,1140
pay,18,1141
difference,18,1142
nameless,18,1143
floated,18,1144
bedford,18,1145
pieces,18,1146
box,18,1147
plenty,18,1148
careful,18,1149
opposite,18,1150
crossing,18,1151
sought,18,1152
lips,18,1153
rate,18,1154
evening,18,1155
height,18,1156
kings,18,1157
inside,18,1158
dropping,18,1159
guess,18,1160
thereby,18,1161
prodigious,18,1162
dinner,18,1163
marked,18,1164
child,18,1165
mother,18,1166
leave,18,1167
lo,18,1168
mentioned,18,1169
spite,18,1170
brave,18,1171
thine,18,1172
rush,18,1173
delight,18,1174
gives,18,1175
spirit,18,1176
regularly,18,1177
crown,18,1178
chains,18,1179
drink,18,1180
intense,18,1181
pots,18,1182
flag,18,1183
horizon,18,1184
beef,18,1185
revealed,18,1186
seized,18,1187
yard,18,1188
period,18,1189
steward,18,1190
longer,18,1191
precious,18,1192
lowering,18,1193
example,18,1194
perth,18,1195
animal,17,1196
immediately,17,1197
bird,17,1198
friends,17,1199
heavens,17,1200
sixty,17,1201
wound,17,1202
motion,17,1203
weight,17,1204
fail,17,1205
crews,17,1206
joy,17,1207
bore,17,1208
bold,17,1209
hussey,17,1210
hell,17,1211
mystic,17,1212
west,17,1213
impossible,17,1214
isles,17,1215
trunk,17,1216
meaning,17,1217
muttered,17,1218
thrust,17,1219
bench,17,1220
trying,17,1221
bad,17,1222
plank,17,1223
shouted,17,1224
cool,17,1225
understand,17,1226
neck,17,1227
previously,17,1228
flame,17,1229
fatal,17,1230
remember,17,1231
dragged,17,1232
months,17,1233
laugh,17,1234
whence,17,1235
gaze,17,1236
rocks,17,1237
grave,17,1238
inserted,17,1239
starboard,17,1240
hitherto,17,1241
race,17,1242
devils,17,1243
native,17,1244
ring,17,1245
madness,17,1246
captured,17,1247
fro,17,1248
books,17,1249
yojo,17,1250
rushing,17,1251
affair,17,1252
shape,17,1253
originally,17,1254
foolish,17,1255
heave,17,1256
row,17,1257
leviathans,17,1258
minute,17,1259
solid,17,1260
continually,17,1261
dough,17,1262
lifted,17,1263
thin,17,1264
compass,17,1265
irons,17,1266
spine,17,1267
tackles,17,1268
oarsmen,17,1269
sit,16,1270
seven,16,1271
prophet,16,1272
immense,16,1273
summer,16,1274
spouts,16,1275
tow,16,1276
twelve,16,1277
respect,16,1278
rock,16,1279
stroke,16,1280
colour,16,1281
mariner,16,1282
bread,16,1283
numerous,16,1284
rare,16,1285
thousands,16,1286
carries,16,1287
oceans,16,1288
lungs,16,1289
putting,16,1290
keen,16,1291
knowing,16,1292
earthly,16,1293
invisible,16,1294
unaccountable,16,1295
inn,16,1296
weary,16,1297
proved,16,1298
doom,16,1299
pulpit,16,1300
spray,16,1301
stricken,16,1302
corner,16,1303
pleasant,16,1304
window,16,1305
fairly,16,1306
breaking,16,1307
clean,16,1308
fill,16,1309
monkey,16,1310
clock,16,1311
actually,16,1312
showed,16,1313
furnished,16,1314
double,16,1315
slid,16,1316
heat,16,1317
civilized,16,1318
watching,16,1319
neither,16,1320
piece,16,1321
behold,16,1322
fate,16,1323
fully,16,1324
gallant,16,1325
distinct,16,1326
paused,16,1327
straits,16,1328
missing,16,1329
cries,16,1330
locked,16,1331
feels,16,1332
fit,16,1333
amid,16,1334
shake,16,1335
pictures,16,1336
harbor,16,1337
commander,16,1338
sent,16,1339
happened,16,1340
barrels,16,1341
uncommon,16,1342
flames,16,1343
fool,16,1344
encounter,16,1345
encountered,16,1346
binnacle,16,1347
hark,16,1348
scientific,16,1349
horizontal,16,1350
folio,16,1351
re,16,1352
ginger,16,1353
letter,15,1354
pains,15,1355
job,15,1356
boiling,15,1357
opening,15,1358
moving,15,1359
proceed,15,1360
special,15,1361
armed,15,1362
supposed,15,1363
afraid,15,1364
mention,15,1365
flood,15,1366
rushed,15,1367
probably,15,1368
north,15,1369
exclaimed,15,1370
lads,15,1371
whenever,15,1372
streets,15,1373
ourselves,15,1374
officer,15,1375
marvellous,15,1376
helped,15,1377
endless,15,1378
doing,15,1379
crossed,15,1380
pushed,15,1381
faces,15,1382
shadows,15,1383
grass,15,1384
wrinkled,15,1385
measure,15,1386
working,15,1387
space,15,1388
violent,15,1389
broke,15,1390
disappeared,15,1391
tried,15,1392
save,15,1393
spoke,15,1394
employed,15,1395
coward,15,1396
palms,15,1397
dry,15,1398
troubled,15,1399
shock,15,1400
ages,15,1401
drag,15,1402
events,15,1403
signs,15,1404
exceedingly,15,1405
seek,15,1406
sleet,15,1407
apart,15,1408
marble,15,1409
faith,15,1410
immortal,15,1411
shadow,15,1412
wrinkles,15,1413
utmost,15,1414
roman,15,1415
silently,15,1416
rod,15,1417
dare,15,1418
future,15,1419
position,15,1420
sank,15,1421
bull,15,1422
perilous,15,1423
marks,15,1424
blast,15,1425
secured,15,1426
direction,15,1427
carrying,15,1428
effect,15,1429
superior,15,1430
nearer,15,1431
frantic,15,1432
latter,15,1433
elijah,15,1434
yield,15,1435
heaving,15,1436
vapour,15,1437
latitudes,15,1438
torn,15,1439
firm,15,1440
ii,15,1441
fins,15,1442
german,15,1443
hail,15,1444
horrible,15,1445
cunning,15,1446
blind,15,1447
bucket,15,1448
season,15,1449
pumps,15,1450
oarsman,15,1451
canal,15,1452
steak,15,1453
glancing,14,1454
fly,14,1455
fat,14,1456
prey,14,1457
frequently,14,1458
towing,14,1459
equal,14,1460
reference,14,1461
london,14,1462
wish,14,1463
capture,14,1464
rolls,14,1465
points,14,1466
leaping,14,1467
send,14,1468
hit,14,1469
returned,14,1470
departed,14,1471
throw,14,1472
city,14,1473
trees,14,1474
crazy,14,1475
phantom,14,1476
care,14,1477
sense,14,1478
awe,14,1479
tormented,14,1480
arrived,14,1481
partly,14,1482
boots,14,1483
meant,14,1484
church,14,1485
yea,14,1486
handle,14,1487
entered,14,1488
carved,14,1489
jack,14,1490
fingers,14,1491
mounted,14,1492
considered,14,1493
honest,14,1494
continued,14,1495
moved,14,1496
closely,14,1497
piled,14,1498
glided,14,1499
naught,14,1500
character,14,1501
worth,14,1502
breakfast,14,1503
hue,14,1504
anywhere,14,1505
canvas,14,1506
planted,14,1507
hither,14,1508
forming,14,1509
buried,14,1510
grew,14,1511
unseen,14,1512
continual,14,1513
opinion,14,1514
reach,14,1515
gliding,14,1516
gained,14,1517
asked,14,1518
dying,14,1519
leak,14,1520
declared,14,1521
luck,14,1522
food,14,1523
square,14,1524
chased,14,1525
foe,14,1526
crow,14,1527
perceived,14,1528
deemed,14,1529
intent,14,1530
lively,14,1531
beware,14,1532
split,14,1533
darting,14,1534
token,14,1535
critical,14,1536
terrific,14,1537
erect,14,1538
customary,14,1539
simultaneously,14,1540
occasionally,14,1541
minds,14,1542
sounding,14,1543
seizing,14,1544
corpse,14,1545
tub,14,1546
tun,14,1547
street,13,1548
please,13,1549
swallowed,13,1550
quantity,13,1551
ponderous,13,1552
shoulders,13,1553
doubtless,13,1554
names,13,1555
john,13,1556
polar,13,1557
setting,13,1558
twice,13,1559
utterly,13,1560
dangerous,13,1561
belonged,13,1562
indirectly,13,1563
outs,13,1564
elsewhere,13,1565
return,13,1566
tied,13,1567
extreme,13,1568
mountains,13,1569
receiving,13,1570
silver,13,1571
sweep,13,1572
wherefore,13,1573
hearing,13,1574
swinging,13,1575
den,13,1576
blanket,13,1577
chap,13,1578
resolved,13,1579
private,13,1580
calmly,13,1581
big,13,1582
lighted,13,1583
seaman,13,1584
mat,13,1585
tore,13,1586
spoken,13,1587
chanced,13,1588
pulled,13,1589
idol,13,1590
sprang,13,1591
keeping,13,1592
subsequent,13,1593
shook,13,1594
trowsers,13,1595
slightly,13,1596
individual,13,1597
ladies,13,1598
gain,13,1599
theirs,13,1600
moody,13,1601
mankind,13,1602
merry,13,1603
ropes,13,1604
lesson,13,1605
touched,13,1606
sooner,13,1607
tide,13,1608
need,13,1609
eager,13,1610
straightway,13,1611
leaned,13,1612
greater,13,1613
fathoms,13,1614
stay,13,1615
prove,13,1616
lived,13,1617
finger,13,1618
rib,13,1619
roared,13,1620
leap,13,1621
matters,13,1622
backs,13,1623
cod,13,1624
mrs,13,1625
tiller,13,1626
stout,13,1627
practical,13,1628
swear,13,1629
volume,13,1630
wonders,13,1631
bye,13,1632
ghost,13,1633
steering,13,1634
conceit,13,1635
manned,13,1636
remarkable,13,1637
stars,13,1638
flank,13,1639
loaded,13,1640
readily,13,1641
latitude,13,1642
sinking,13,1643
grounds,13,1644
fourth,13,1645
tower,13,1646
tubs,13,1647
wreck,13,1648
warp,13,1649
leaped,13,1650
canst,13,1651
circles,13,1652
herd,13,1653
buoy,13,1654
ambergris,13,1655
bunger,13,1656
supplied,12,1657
nations,12,1658
spanish,12,1659
wine,12,1660
prepared,12,1661
size,12,1662
narrative,12,1663
exceeding,12,1664
secure,12,1665
deal,12,1666
southern,12,1667
america,12,1668
dread,12,1669
stranded,12,1670
spouting,12,1671
pair,12,1672
noise,12,1673
brother,12,1674
ball,12,1675
upright,12,1676
possession,12,1677
mid,12,1678
money,12,1679
involuntarily,12,1680
falling,12,1681
reaching,12,1682
sadly,12,1683
drowned,12,1684
key,12,1685
begin,12,1686
salt,12,1687
family,12,1688
shoulder,12,1689
contrary,12,1690
sights,12,1691
sounds,12,1692
